pair_ID	resume	jd	score
1	Bachelor of ScienceComputer Science & Mathematics North Central College	B.S. in Computer Science or equivalent industrial experience required; Master’s Degree preferred.	four
2	onetwo years in Java/Web development	"one0+ years of overall software development experience, five+ years in Java"	five
3	Algorithm and Data Structures	"Proficiency in coding, data structures, algorithms, and designing for performance, scalability, and availability."	four
4	Students’ evaluations of my performance noted my patience and clear communication	"Strong analytical skills, excellent communication and interpersonal skills."	five
5	Replaced company website with a more trustworthy and better performing site	"Experience in building security features for large-scale systems, specifically around data encryption and encryption key management"	two
6	"During system integration, assisted the development team in meeting their performance objectives."	Lead design reviews for engineers and provide feedback on architecture and open design questions	two
7	Team Lead EHR Software Support	Lead and influence technical direction and roadmap	four
8	"Increased team's efficiency by mentoring others and evolving internal processes to include unit tests, codereviewed pull requests, and build automation tools"	"Lead best practice for clean and effective code, improve team technical level"	four
9	"Role : Programmer, Software designer"	"A professional with solid grounding in Computer Science, strong competencies in security, big data, data structures, algorithms and software design is an ideal candidate for this team."	two
10	Agile Methodologies amongst team members	"Liaison with Product Manager, Engineering Manager and other agile teams to align with the overall product vision and architecture 
design"	three
11	Helped migrate Wercker’s job scheduler from running on CoreOS fleet to Kubernetes	Familiarity with containerization services i.e. Kubernetes.	five
12	Placed third out of fifteen three-person teams by solving programming problems in the Oregon regional	"The platform team is looking for an energetic and dependable individual, who is passionate in solving complex system level problems, 
creating scalable and highly efficient frameworks and supporting software development across the whole business suite."	three
13	"M.S., Computer Science, M.I.T., Cambridge, MA."	B.S. in Computer Science or equivalent industrial experience required; Master’s Degree preferred.	five
14	Good automation and debugging skills	testing experience with automation tools.	two
15	"Three years with Java, C. Experience with AngularJS"	"one0+ years of overall software development experience, five+ years in Java"	one
16	software engineer in developing innovative solutions to solve complex issues through all phases of development. An effective leader who enlists the support of all team members in achieving both project and organizational goals.	"The platform team is looking for an energetic and dependable individual, who is passionate in solving complex system level problems, creating scalable and highly efficient frameworks and supporting software development across the whole business suite."	five
17	Ensures the availability and security of data and information of the company.	"A professional with solid grounding in Computer Science, strong interest in security, big data, data structures, algorithms and software design is an ideal candidate for this team."	five
18	"Passionate and committed to writing clean code, designing and delivering practical solutions"	Contribute clean and effective code in an agile environment	five
19	"Automated these processes (transfers, pre-processing, load, updates, and correlations) using REXX, Perl and Java"	Automate recurrent tasks using modern tools and frameworks	four
20	Bachelor of ScienceComputer Science & Mathematics . North Central College	B.S. in Computer Science or equivalent industrial experience required	five
21	"Visual Studio Code, IDE,"	"You know your way around an IDE like IntelliJ, Eclipse or VSCode"	five
22	"Languages & Libraries React, TypeScript, Express, Go, Postgres, Javascript, Java, Python, Dthreejs, Pfivejs"	"Experience developing software in Java, Golang, Python."	three
23	"Technology and Framework: Java SE, Java Web (Servlet, Spring, Hibernate)."	Prior (work) experience with Java and a framework like Spring	five
24	Managing best practices of software development life-cycle (SDLC)	Familiarity with modern software lifecycle principles.	five
25	Wrote a service called cluster manager that dynamically scales the size of our Kubernetes cluster as a function of the number of customers	"Familiarity with containerization services i.e. Kubernetes along with Hands-On Experience working with Microsoft Azure, Google Cloud Platform or Amazon Webservices."	three
26	Feb. one996 - Sep. two009	Total Experience - four-8 years	five
27	Web-based applications for any standards-compliant platform.	"As a penetration tester, you would be expected to conduct Vulnerability Analysis and Penetration tests on web-based applications, networks, and other types of computer systems on a regular basis."	one
28	I designed and contributed to the development of an ERP software solution	"You will be expected to work on Cloud Security, Mobile Security, and Security of ERP Products."	five
29	"Contributed to the System Security Plan: documentation, implementation, auditing"	"Along with these tests and assessments, candidate is expected to perform regular security audits from both Design, Process and technical / hands-on standpoint."	four
30	I am an all-round Software Engineer with a focus on web development.	"Graduate in Computer Science, Software engineering or equivalent with two+ years of working experience in IT Security is required"	four
31	"Contribute and review code, maintain documentation, triage issues and bugs, and organize contributor outreach events."	"Experienced in application security testing (source code review and application penetration tests) along with working knowledge of Security principles, techniques and technologies"	two
32	"Comfortable with various computer languages: C#, Java, C/C++"	"Application development background and security knowledge – example of languages include C, C#, C++, Java, JtwoEE"	three
33	initially over leased SDLC but later revised to SNA routed over TCP/IP.	Good understanding of the components of a secure DLC/SDLC	five
34	I helped redesign our DevOps systems	"As part of one00+ strong engineering team, you will gain experience in building enterprise scale Cloud Engineering applications with DevOps culture at the heart of what you do."	five
35	"Testing and control changes in the production, test and development environments"	"Design, program and test product features by following agile development practices"	three
36	"Utilization of various project management methodologies (Waterfall, Agile, SCRUM, Stage Gate and COCOMO)"	"Demonstrate excellent quality, design, development and delivery skills in scrum teams working in short development and release cycles"	five
37	Azure DevOps	"Support DevOps related tasks including delivery, operations and support of the cloud service"	three
38	Partner in conjunction with the business development team and the operational team to create effective marketing strategies and proposals	"Mentor team, showcase good team player skills and work with geographically distributed teams"	three
39	Bachelor of Science in Computer Science	Degree/master’s degree in computer engineering or equivalent subject	five
40	"Technologies: Spring, JPA, REST, Microservice, XML, JMS, JDBC"	"five to 7 years of experience in Java and related technologies like Core Java, Spring, JDBC, JMS, REST"	three
41	"Developed background tasks using multithreading: attribute calculation, import and export job scheduling, system maintains."	"Good knowledge of OOAD, algorithms, data structures, multithreading, design patterns, programming best practices. OS and runtime"	one
42	"Operating Systems: Windows XP Professional, UNIX, Linux, Mac OS X, Solaris."	"experience (Linux, Windows, JVM, Web servers, Servlet Containers)"	three
43	"Databases: Oracle, Dbtwo, MySQL"	"Strong grasp on at least one relational database system such as SAP Hana, Oracle, SQL Server, MySQL, PostgreSQL, or DBtwo"	five
44	Maintaining and administering web systems security	"Understanding and experience of system quality, security, performance, maintainability & extensibility"	three
45	Agile software development.	Experience of working in an agile software development environment	five
46	"Early leader in development (IaaS, PaaS) as a member of Cloud Core Team, Cloud and DevOps Workgroup"	"Contribute Design, implement and manage security controls and automation in a DevOps environment within public clouds across IaaS, PaaS, SaaS and container platforms."	five
47	CI / Deployment / Monitoring pipeline design	Assist in defining the need and assess relevant security tools to address security challenges within cloud environments and CI/CD pipelines.	three
48	Monitored server security; monitored/reviewed server logs	Support compliance/certification activities and participate in security audits/reviews.	five
49	"Project Management Methodology: Scrum, Agile, Kanban, Lean, Waterfall, PMI/PMBOK"	Participate in Agile scrum sprints to create user stories and to assist in developing Sprints and Releases.	three
